,title,price,link
0,"ASUS TUF F15 Gaming Laptop, Intel Core i5-11400H 11th Gen, 15.6-inch (39.62 cm) FHD 144Hz,(16GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050/Windows 11/ RGB Backlit KB/Black/2.30 kg), FX506HF-HN025W  ","50,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNTA1NzA1MzgzOTg5MDA4OjE3Mjk1MzU0MzI6c3BfYXRmX25leHQ6MzAwMTE5Mjk2OTM0MzMyOjowOjo&url=%2FASUS-SmartChoice-i5-11400H-GeForce-FX506HF-HN025W%2Fdp%2FB0C27SD9YR%2Fref%3Dsr_1_17_sspa%3Fcrid%3D1I4MOMTVBBY8T%26dib%3DeyJ2IjoiMSJ9.1W0buun-v-75B7EFlMS2z2Mb57dCNKrFj-KeoUBwvefOC_6umSWQja5-wpc93c1y7hlljv2MvsrsJMa5ozEEdKmWEoxM1btIqLpPTAmd3EOkLC9i5ZKE5d590K8dvueC22rfivQcmHaJ5NfL7qn4rsSDxf-eDFDxcvEQvmlIYVA5w4TAUTGBKy3xzcwbxaO9HnIV0LmPLcZ_h5m9BTA2KOrXoV3tkVC2scc5FPWKoBs._GEvncubdewqhR7Qn2TOMWC6ldMgwhpdvcTGpSrOZ7k%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729535432%26sprefix%3Dlaptop%252Caps%252C245%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
1,"ASUS TUF Gaming F17, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 165Hz, Gaming Laptop (16GB/512GB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.60 kg), FX706HF-NY040W  ","50,800",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNTA1NzA1MzgzOTg5MDA4OjE3Mjk1MzU0MzI6c3BfYXRmX25leHQ6MzAwMzQyOTMwMTk3MzMyOjowOjo&url=%2FASUS-i5-11400H-17-3-inch-GeForce-FX706HF-NY040W%2Fdp%2FB0D3LXXQFY%2Fref%3Dsr_1_18_sspa%3Fcrid%3D1I4MOMTVBBY8T%26dib%3DeyJ2IjoiMSJ9.1W0buun-v-75B7EFlMS2z2Mb57dCNKrFj-KeoUBwvefOC_6umSWQja5-wpc93c1y7hlljv2MvsrsJMa5ozEEdKmWEoxM1btIqLpPTAmd3EOkLC9i5ZKE5d590K8dvueC22rfivQcmHaJ5NfL7qn4rsSDxf-eDFDxcvEQvmlIYVA5w4TAUTGBKy3xzcwbxaO9HnIV0LmPLcZ_h5m9BTA2KOrXoV3tkVC2scc5FPWKoBs._GEvncubdewqhR7Qn2TOMWC6ldMgwhpdvcTGpSrOZ7k%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729535432%26sprefix%3Dlaptop%252Caps%252C245%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2,"Lenovo [Smartchoice LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN  ","66,190",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNTA1NzA1MzgzOTg5MDA4OjE3Mjk1MzU0MzI6c3BfbXRmOjMwMDE2NzA4OTQ1OTMzMjo6MDo6&url=%2FLenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN%2Fdp%2FB0CX8XPKWJ%2Fref%3Dsr_1_27_sspa%3Fcrid%3D1I4MOMTVBBY8T%26dib%3DeyJ2IjoiMSJ9.1W0buun-v-75B7EFlMS2z2Mb57dCNKrFj-KeoUBwvefOC_6umSWQja5-wpc93c1y7hlljv2MvsrsJMa5ozEEdKmWEoxM1btIqLpPTAmd3EOkLC9i5ZKE5d590K8dvueC22rfivQcmHaJ5NfL7qn4rsSDxf-eDFDxcvEQvmlIYVA5w4TAUTGBKy3xzcwbxaO9HnIV0LmPLcZ_h5m9BTA2KOrXoV3tkVC2scc5FPWKoBs._GEvncubdewqhR7Qn2TOMWC6ldMgwhpdvcTGpSrOZ7k%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729535432%26sprefix%3Dlaptop%252Caps%252C245%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"Dell 15 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Intel UHD Graphics, Windows 11 + MSO'21, 15 Months McAfee, Black, 1.66kg  ","36,990",https://amazon.in//Dell-i3-1305U-Processor-39-62cm-Graphics/dp/B0DHBZ5FT2/ref=sr_1_89?crid=1I4MOMTVBBY8T&dib=eyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k&dib_tag=se&keywords=laptop&qid=1729535467&sprefix=laptop%2Caps%2C245&sr=8-89
4,"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (4GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6005CIN  ","19,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V6005CIN/dp/B0C864DPY2/ref=sr_1_90?crid=1I4MOMTVBBY8T&dib=eyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k&dib_tag=se&keywords=laptop&qid=1729535467&sprefix=laptop%2Caps%2C245&sr=8-90
5,"HP Laptop 14, Intel Core Ultra 7 155H, Built-in AI, 14-inch (35.6 cm), FHD, 16GB DDR5, 512GB SSD, Intel Arc Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.4 kg), gr1023TU  ","83,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODgyODcwODY2MDgwNTQ6MTcyOTUzNTQ2NzpzcF9tdGY6MzAwMzQxOTY3ODEwODMyOjowOjo&url=%2FHP-14-inch-Graphics-Privacy-gr1023TU%2Fdp%2FB0D8J85F5X%2Fref%3Dsr_1_91_sspa%3Fcrid%3D1I4MOMTVBBY8T%26dib%3DeyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729535467%26sprefix%3Dlaptop%252Caps%252C245%26sr%3D8-91-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
6,"ASUS Vivobook 16 (2023), Intel Core i5-13500H 13th Gen, 16"" (40.64 cm) FHD+, Thin & Light Laptop (8GB/512GB SSD/Intel Iris Xáµ‰/Win 11/Office 2021/Backlit KB/Fingerprint/Siver/1.88 kg), X1605VA-MB526WS  ","57,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODgyODcwODY2MDgwNTQ6MTcyOTUzNTQ2NzpzcF9tdGY6MzAwMjQ4MTUzOTU0NDMyOjowOjo&url=%2FASUS-Vivobook-i5-13500H-Fingerprint-X1605VA-MB526WS%2Fdp%2FB0CQLN1B17%2Fref%3Dsr_1_92_sspa%3Fcrid%3D1I4MOMTVBBY8T%26dib%3DeyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729535467%26sprefix%3Dlaptop%252Caps%252C245%26sr%3D8-92-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
7,"(Refurbished) Lenovo ThinkBook 15 G5 Ryzen 7 15.6"" FHD Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Fingerprint Reader/Backlit/Mineral Grey/1 Year Onsite/1.7 kg), 21JFA00BIN  ","36,566",https://amazon.in//Refurbished-Lenovo-ThinkBook-Fingerprint-21JFA00BIN/dp/B0CW2SZBHJ/ref=sr_1_93?crid=1I4MOMTVBBY8T&dib=eyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k&dib_tag=se&keywords=laptop&qid=1729535467&sprefix=laptop%2Caps%2C245&sr=8-93
8,"HP Pavilion Plus 14 Laptop, 13th Gen Intel Core i5-1335U, 14-inch (35.6 cm), WUXGA, 16GB LPDDR5x, 512GB SSD, Premium metal, TBT 4 and HDMI 2.1, 5MP camera (Win 11, MSO 2021, Silver, 1.44 kg), ew0116TU  ","68,000",https://amazon.in//HP-Pavilion-i5-1335U-14-inch-ew0116TU/dp/B0CWDBJ3Q8/ref=sr_1_94?crid=1I4MOMTVBBY8T&dib=eyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k&dib_tag=se&keywords=laptop&qid=1729535467&sprefix=laptop%2Caps%2C245&sr=8-94
9,"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 Kg), E1504FA-NJ541WS  ","38,421",https://amazon.in//ASUS-Vivobook-Integrated-Graphics-E1504FA-NJ541WS/dp/B0BQSH511C/ref=sr_1_95?crid=1I4MOMTVBBY8T&dib=eyJ2IjoiMSJ9.wlAtA46L6PIoL3ZJ5nE0XI5dnnHpOdS4wy6Pem8uZmyvcRTX_AI4uafipd67O2CjmmiHYQE3QQOHHFin4bbjlEGg4Ngte3wNFXOq6L9RFJF-y7JesozpNnGdrPKtlZ1RHfzGsn0DkzjfvU89vl1zf5H1-Zglu8z1sNUfEohpziWzqGKmIZ7yge9wUXc81BVFX-w3-AzHENmvvo0BEGnRYym5torI5Tufc-0DY4_b1XU.3SRBfj2Tw1xEkMHqRi1rJTKQfj7NgBS2cnYaIwP0e1k&dib_tag=se&keywords=laptop&qid=1729535467&sprefix=laptop%2Caps%2C245&sr=8-95
